Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades 
502294,NILACHAL,X,42,42,37.3,37.3,146,0.06,12
501477,MULLER,XT,168.35,168.35,160,168.35,34,0.06,5
512626,ORBTEXP,B,143,143,143,143,45,0.06,10
519506,NCCBLUE,P,6.3,6.3,6.3,6.3,1000,0.06,4
517397,PANELEC,X,31.6,31.6,27,30.5,234,0.06,17
517044,IDM,XT,18.16,18.16,17,18,355,0.06,28
519174,ASHAI,XT,8,8,7.6,7.6,625,0.05,10
521220,DAMOINDUS,B,47.75,48.7,47.1,48.7,96,0.05,16
521232,SUNILTX,P,54.3,54.3,54.3,54.3,100,0.05,1
520131,COARO,P,23.75,23.75,23.75,23.75,200,0.05,1
512604,HARIAEXPO,X,5.05,5.2,4.76,5.2,995,0.05,12
513343,GRANDFONRY,T,6.49,6.49,6.49,6.49,791,0.05,4
511411,SHRISTI,X,24.4,25,23,24.15,216,0.05,7
508963,STRLGUA,XT,7.5,7.7,7.5,7.69,696,0.05,5
503349,VICTMILL,XT,2450,2450,2421,2421,2,0.05,2
504697,GALADA,Z,1.72,1.76,1.68,1.76,2704,0.05,22
507789,JAGSNPHARM,B,335,335,330.95,330.95,14,0.05,6
500418,TOKYOPLAST,B,93,93,92.95,92.95,50,0.05,5
526554,SALGUTI,XT,25.95,25.95,25.95,25.95,200,0.05,1
530445,SUMERUIND,XT,1.75,1.75,1.62,1.66,2779,0.05,22
524622,ISTRNETWK,XT,2.25,2.25,2.14,2.25,2268,0.05,13
524592,JDORGOCHEM,X,6.43,6.43,6.11,6.11,882,0.05,4
531221,MAYURFL,XT,11.2,11.98,11.2,11.89,438,0.05,12
531337,WINPRO,B,3.8,3.8,3.55,3.6,1300,0.05,14
531409,ALCHCORP,XT,12.86,13,12.86,13,405,0.05,4
531412,RADIXIND,X,67.1,67.25,67.05,67.1,70,0.05,3
531003,SWRNASE,X,38.85,38.85,38.85,38.85,140,0.05,2
531673,ANKIN,XT,26.1,26.1,26.1,26.1,200,0.05,2
532164,MINOLTAF,Z,9.03,9.03,8.17,8.75,570,0.05,16
543570,HDFCNEXT50,B,386,390,384,390,13,0.05,11
536565,TRIMURTHI,XT,10,10,10,10,500,0.05,2
532766,RICHAIND,Z,1.92,2.02,1.85,2.01,2781,0.05,17
532925,KAUSHALYA,B,4.18,4.37,4.15,4.28,1125,0.05,76
542803,VEL,X,23.7,23.7,23.7,23.7,219,0.05,9
542839,NIEHSPD,B,1.01,1.02,0.9,0.91,5305,0.05,9
539406,SWAGTAM,XT,50.75,50.75,46.05,46.1,116,0.05,7
539220,MISHKA,XT,52.65,53.85,52.65,53.85,74,0.04,6
539528,AAYUSH,XT,24.7,24.7,24.7,24.7,180,0.04,5
539495,RAJKOTINV,Z,35.15,35.15,35.15,35.15,100,0.04,1
543181,11AGG,B,10.4,10.4,8.7,9.21,504,0.04,8
541929,SGIL,B,125.05,129.45,125.05,127.7,29,0.04,8
541999,GENERAAGRI,Z,2.15,2.15,2.15,2.15,1721,0.04,9
532806,AICHAMP,XT,23.35,24.4,23.35,24.4,184,0.04,5
537326,CHEMTECH,B,12.8,13.3,12.75,12.85,350,0.04,5
534328,HEXATRADEX,B,154.1,154.95,152.05,152.05,23,0.04,9
543608,HDFCVALUE,B,96.6,98.1,96.1,96.1,42,0.04,34
531716,TRICOMFRU,X,1.39,1.39,1.22,1.29,2812,0.04,16
531574,VASINFRA,X,3.3,3.6,3.3,3.6,1117,0.04,4
531169,SKPSEC,X,75.55,76.5,75.55,76.3,57,0.04,6
524743,FISCHER,XT,103.05,103.05,103.05,103.05,39,0.04,2
523832,MUKATPIP,X,7.69,7.69,7.69,7.69,526,0.04,3
522152,SOLIMAC,X,46.3,46.3,45.75,45.75,91,0.04,12
530421,KUWERIN,X,8.46,8.46,8.04,8.04,501,0.04,2
526441,VISIONCINE,X,1.13,1.13,1.02,1.02,3717,0.04,14
526435,PERFEPA,X,58.2,61.45,58.15,61.45,71,0.04,4
526891,MKTCREAT,X,9.25,9.8,9.01,9.7,385,0.04,9
506122,PANKAJPIYUS,X,70.75,70.85,70.75,70.85,56,0.04,5
503863,SHRMFGC,XT,11.2,11.65,11.2,11.65,369,0.04,5
501430,BOMBCYC,X,700,709,700,700.05,5,0.04,3
511611,DCMFINSERV,B,4.35,4.35,3.86,3.87,1023,0.04,30
517463,LINAKS,XT,1.2,1.2,1.2,1.2,2993,0.04,3
519606,INTEGFD,XT,12.6,12.6,12.6,12.6,303,0.04,2
514272,BHILSPIN,X,39.9,39.9,37.1,38.7,92,0.04,11
514332,NEOINFRA,X,11.21,12.29,11.21,12.29,314,0.04,14
514223,RAMGOPOLY,XT,6.32,6.32,5.76,6.2,702,0.04,12
514326,PATSPINLTD,X,11,11.4,10.72,11.4,313,0.03,12
517399,VXLINSTR,XT,10.29,10.79,10.29,10.78,250,0.03,5
517437,DUTRON,XT,136.9,136.9,136.9,136.9,20,0.03,1
519238,SPTRSHI,XT,16.25,16.85,16.25,16.85,162,0.03,4
517548,STARLITE,Z,2.63,2.76,2.5,2.76,970,0.03,7
521082,SPENTEX,Z,1.33,1.33,1.33,1.33,2309,0.03,6
511507,USHAKIRA,XT,15.9,15.9,15.15,15.15,200,0.03,3
511539,SUPRATRE,XT,22.1,22.1,22.1,22.1,135,0.03,2
511359,ADMANUM,XT,51.65,51.65,49.1,49.1,53,0.03,3
508860,DIAMANT,XT,0.93,0.93,0.93,0.93,2941,0.03,24
512405,IPOWER,XT,6.99,6.99,6.99,6.99,500,0.03,1
512481,POLYTEX,XT,3.78,3.78,3.47,3.47,824,0.03,9
504356,ZMULTIPU,XT,7.45,7.45,6.94,7.3,429,0.03,10
505216,ALFREDHE,X,727,727,725,725,4,0.03,3
507609,OLYOI,X,24.8,24.95,24.8,24.95,112,0.03,3
500540,PREMIER,T,2.94,2.94,2.75,2.75,1106,0.03,15
530581,EKAMLEA,XT,7,7,6.9,6.9,406,0.03,10
530805,OIVL,XT,100.8,100.8,100.8,100.8,25,0.03,1
530407,EPIC,X,6.8,6.8,6.8,6.8,456,0.03,5
530173,OSCARGLO,X,6.09,6.09,6.09,6.09,526,0.03,2
523113,FUTURSEC,XT,12.41,12.41,12.41,12.41,245,0.03,3
523752,TIHIL,XT,7.29,7.29,7.29,7.29,400,0.03,2
523696,FORTISMLR,X,52.5,52.5,51.2,51.3,51,0.03,12
523419,TNTELE,T,7.1,7.38,7.1,7.38,452,0.03,12
524636,OXYGENTAPH,XT,25.2,25.2,25.2,25.2,120,0.03,3
526225,BLOOM,X,14.55,14.55,14,14,195,0.03,3
531198,DHANADACO,XT,3.25,3.3,3.09,3.09,1040,0.03,7
531049,NEELKAN,Z,8.4,8.4,8.4,8.4,302,0.03,2
531300,AMITINT,Z,2.95,2.95,2.75,2.85,1238,0.03,7
531609,KGPETRO,X,199.9,199.9,186.1,199,15,0.03,7
531460,CONTICON,X,5.5,5.5,4.98,4.98,621,0.03,11
